id	condition	cond2	tradhyp	controltrans	honesthyp	likemu_1	likejd_1	likepc	likepd_1	like	goodmu_1	goodjd_1	goodpc	goodpd_1	good	trustmu_1	trustjd_1	trustpc	trustpd_1	trust	honestmu_1	honestjd_1	honestpc	honestpd_1	honest	hypmu_1	hypjd_1	hyppc	hyppd_1	hyp	overall	age	gender	edu	income	generaltrustyou	previousexperience
11	controltrans	3	0	1	0	28	32	30	10	25	29	44	40	32	36.25	30	42	21	27	30	29	21	36	15	25.25	88	86	75	95	86	29.125	30	2	5	8	4	1
12	controltrans	3	0	1	0	73	19	44	0	34	100	42	43	0	46.25	72	40	40	0	38	100	100	36	0	59	0	100	67	100	66.75	44.3125	26	1	5	7	1	1
13	controltrans	3	0	1	0	8	36	16	2	15.5	6	25	9	0	10	0	48	16	11	18.75	1	39	11	100	37.75	92	59	94	98	85.75	20.5	23	2	4	1	5	2
14	tradhyp	1	1	0	0	2	67	0	9	19.5	3	72	7	6	22	0	75	6	9	22.5	0	77	0	9	21.5	98	50	95	100	85.75	21.375	34	2	5	6	5	1
15	tradhyp	1	1	0	0	53	54	59	36	50.5	68	57	71	53	62.25	53	51	62	32	49.5	45	51	70	43	52.25	87	76	57	83	75.75	53.625	26	2	5	4	6	3
16	tradhyp	1	1	0	0	23	2	51	17	23.25	52	9	43	41	36.25	86	12	30	45	43.25	92	1	42	56	47.75	0	100	80	91	67.75	37.625	32	1	5	7	4	3
17	controltrans	3	0	1	0	65	72	58	46	60.25	66	69	56	38	57.25	65	43	57	47	53	70	74	50	37	57.75	66	68	40	36	52.5	57.0625	23	1	2	1	4	3
18	tradhyp	1	1	0	0	30	43	35	54	40.5	22	38	35	53	37	24	20	49	57	37.5	4	38	48	54	36	94	93	97	89	93.25	37.75	54	2	5	7	5	3
19	tradhyp	1	1	0	0	16	34	16	26	23	25	25	19	22	22.75	22	23	14	20	19.75	7	15	11	21	13.5	90	86	95	91	90.5	19.75	31	1	4	1	3	2
20	controltrans	3	0	1	0	91	86	70	75	80.5	65	96	78	97	84	55	83	68	87	73.25	45	65	92	87	72.25	4	6	9	1	5	77.5	33	2	5	9	6	1
21	honesthyp	2	0	0	1	36	38	45	37	39	54	60	58	58	57.5	45	39	52	42	44.5	78	58	62	69	66.75	77	77	70	73	74.25	51.9375	27	1	5	6	6	3
22	tradhyp	1	1	0	0	100	33	30	60	55.75	76	63	33	42	53.5	76	63	29	66	58.5	64	33	34	68	49.75	10	71	77	86	61	54.375	29	1	2	5	4	4
23	controltrans	3	0	1	0	15	26	88	94	55.75	15	73	76	95	64.75	34	69	83	84	67.5	16	5	67	91	44.75	27	20	70	92	52.25	58.1875	28	1	2	4	7	1
24	tradhyp	1	1	0	0	43	40	44	37	41	39	39	27	39	36	1	37	34	31	25.75	0	1	1	0	0.5	100	100	100	0	75	25.8125	55	2	5	9	2	1
25	tradhyp	1	1	0	0	3	10	31	5	12.25	4	9	48	30	22.75	0	11	6	8	6.25	1	4	5	5	3.75	100	100	100	99	99.75	11.25	54	2	6	9	5	1
26	controltrans	3	0	1	0	94	6	19	51	42.5	92	98	31	49	67.5	92	50	57	48	61.75	93	92	32	35	63	4	7	28	50	22.25	58.6875	25	1	5	7	4	1
27	controltrans	3	0	1	0	0	25	32	10	16.75	24	29	47	5	26.25	15	36	46	54	37.75	9	8	50	53	30	89	54	38	23	51	27.6875	39	1	4	8	6	3
28	tradhyp	1	1	0	0	47	52	17	49	41.25	44	46	12	45	36.75	29	53	8	11	25.25	39	5	17	32	23.25	98	98	99	89	96	31.625	49	2	2	4	6	1
29	tradhyp	1	1	0	0	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	48	50	50	49.5	50	50	59	57	54	49.875	25	1	5	7	4	2
30	tradhyp	1	1	0	0	43	42	41	46	43	45	46	43	43	44.25	39	43	46	40	42	31	36	24	34	31.25	75	79	76	67	74.25	40.125	24	2	5	1	5	1
31	honesthyp	2	0	0	1	50	51	50	17	42	50	50	50	50	50	50	50	51	50	50.25	50	82	88	49	67.25	22	9	0	37	17	52.375	33	1	5	5	6	2
32	honesthyp	2	0	0	1	30	23	69	48	42.5	34	17	60	55	41.5	35	32	35	48	37.5	28	25	39	40	33	92	83	35	82	73	38.625	58	2	6	8	3	2
33	tradhyp	1	1	0	0	50	48	50	50	49.5	38	51	40	42	42.75	27	43	38	38	36.5	17	43	42	39	35.25	89	71	85	87	83	41	55	2	4	4	3	2
34	controltrans	3	0	1	0	29	63	20	82	48.5	34	37	27	74	43	57	65	32	57	52.75	63	80	22	65	57.5	28	69	31	60	47	50.4375	28	1	4	3	4	2
35	honesthyp	2	0	0	1	33	50	56	61	50	36	58	59	35	47	38	60	45	60	50.75	17	82	60	61	55	78	63	46	33	55	50.6875	35	1	6	9	3	1
36	controltrans	3	0	1	0	29	50	13	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	5.75	28	2	4	1	7	3
37	controltrans	3	0	1	0	95	9	12	16	33	90	14	15	8	31.75	90	21	12	11	33.5	96	18	16	6	34	7	10	11	12	10	33.0625	41	1	4	7	7	1
38	honesthyp	2	0	0	1	27	86	56	69	59.5	54	87	72	84	74.25	6	86	35	76	50.75	0	80	38	79	49.25	100	16	100	8	56	58.4375	37	2	4	4	6	1
39	controltrans	3	0	1	0	63	69	43	58	58.25	69	56	46	57	57	78	73	48	61	65	59	54	45	61	54.75	23	46	40	35	36	58.75	21	1	4	1	5	1
40	honesthyp	2	0	0	1	50	60	51	43	51	50	51	54	43	49.5	42	51	58	49	50	63	64	70	62	64.75	53	63	52	63	57.75	53.8125	28	1	5	6	6	3
41	tradhyp	1	1	0	0	17	37	26	34	28.5	43	47	29	42	40.25	7	29	35	33	26	4	41	28	18	22.75	87	87	83	92	87.25	29.375	22	2	5	3	3	1
42	honesthyp	2	0	0	1	69	76	85	66	74	72	29	83	18	50.5	87	28	68	66	62.25	77	79	70	73	74.75	37	84	29	81	57.75	65.375	28	1	5	6	5	1
43	honesthyp	2	0	0	1	12	35	7	15	17.25	12	19	20	39	22.5	11	19	26	31	21.75	7	32	15	21	18.75	98	24	85	78	71.25	20.0625	52	2	6	10	6	3
44	controltrans	3	0	1	0	0	41	80	16	34.25	0	23	39	14	19	0	0	81	24	26.25	0	0	100	12	28	100	100	0	81	70.25	26.875	70	2	2	8	5	1
45	controltrans	3	0	1	0	33	37	32	57	39.75	61	46	58	50	53.75	41	43	51	44	44.75	38	48	42	38	41.5	50	55	50	38	48.25	44.9375	24	2	5	6	4	3
46	controltrans	3	0	1	0	61	65	42	42	52.5	63	68	62	40	58.25	62	67	57	42	57	60	68	46	56	57.5	32	67	53	65	54.25	56.3125	20	2	4	1	4	3
47	tradhyp	1	1	0	0	32	41	40	42	38.75	42	51	34	49	44	43	45	44	42	43.5	43	43	42	39	41.75	75	76	77	76	76	42	27	2	5	1	5	3
48	controltrans	3	0	1	0	52	76	26	41	48.75	49	59	0	51	39.75	46	68	30	37	45.25	43	63	34	33	43.25	32	18	100	55	51.25	44.25	24	1	5	9	5	3
49	controltrans	3	0	1	0	4	15	68	60	36.75	4	7	71	45	31.75	5	15	58	37	28.75	13	13	64	42	33	8	96	81	73	64.5	32.5625	42	2	5	3	3	1
50	honesthyp	2	0	0	1	33	29	38	44	36	36	36	41	48	40.25	20	26	42	39	31.75	19	9	39	48	28.75	83	82	61	47	68.25	34.1875	28	1	6	6	4	1
51	honesthyp	2	0	0	1	3	32	15	50	25	20	31	25	50	31.5	12	50	32	50	36	6	15	22	66	27.25	93	91	77	62	80.75	29.9375	53	2	5	10	4	1
52	controltrans	3	0	1	0	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	49	49	50	49.5	0	50	0	50	25	49.875	42	2	5	6	2	3
53	tradhyp	1	1	0	0	7	49	0	50	26.5	44	50	1	45	35	36	44	14	51	36.25	5	42	19	49	28.75	88	61	89	61	74.75	31.625	21	2	4	1	5	1
54	controltrans	3	0	1	0	53	51	28	46	44.5	50	47	39	50	46.5	50	44	21	50	41.25	44	18	32	50	36	60	70	73	61	66	42.0625	19	1	4	3	4	3
55	honesthyp	2	0	0	1	89	4	56	30	44.75	89	6	65	42	50.5	96	7	60	23	46.5	92	4	30	92	54.5	8	7	53	32	25	49.0625	30	2	6	4	1	2
56	honesthyp	2	0	0	1	50	50	26	53	44.75	50	50	42	59	50.25	80	66	51	83	70	60	68	52	79	64.75	41	37	50	19	36.75	57.4375	35	1	5	7	6	2
57	honesthyp	2	0	0	1	48	43	50	50	47.75	65	44	50	50	52.25	42	50	50	50	48	46	28	46	40	40	84	69	42	70	66.25	47	29	1	5	6	3	1
58	honesthyp	2	0	0	1	50	50	37	50	46.75	50	44	41	19	38.5	50	50	38	29	41.75	50	42	37	36	41.25	82	85	95	87	87.25	42.0625	28	2	7	6	4	3
59	honesthyp	2	0	0	1	51	46	45	48	47.5	50	48	46	48	48	48	44	36	37	41.25	73	76	41	79	67.25	55	61	88	65	67.25	51	25	1	2	6	3	2
60	controltrans	3	0	1	0	37	75	59	90	65.25	27	59	80	83	62.25	10	58	75	58	50.25	13	53	79	72	54.25	50	21	33	3	26.75	58	43	2	4	1	5	1
61	controltrans	3	0	1	0	36	57	50	59	50.5	52	62	50	79	60.75	5	62	48	84	49.75	7	56	33	74	42.5	98	52	65	55	67.5	50.875	49	2	4	4	5	2
62	controltrans	3	0	1	0	82	42	30	31	46.25	52	21	38	49	40	63	32	42	44	45.25	56	20	43	47	41.5	0	56	45	43	36	43.25	22	1	4	2	4	2
63	controltrans	3	0	1	0	67	59	42	47	53.75	65	63	49	59	59	62	55	46	45	52	72	47	44	47	52.5	42	43	54	52	47.75	54.3125	25	2	4	5	3	2
64	honesthyp	2	0	0	1	53	100	51	39	60.75	91	95	100	76	90.5	92	96	51	51	72.5	100	100	89	0	72.25	11	10	51	100	43	74	24	1	2	1	7	2
65	controltrans	3	0	1	0	44	46	54	34	44.5	43	54	60	47	51	20	43	54	44	40.25	39	16	62	46	40.75	63	32	59	51	51.25	44.125	31	1	6	6	4	2
66	controltrans	3	0	1	0	70	73	74	83	75	76	84	80	62	75.5	63	31	87	32	53.25	45	68	26	86	56.25	57	82	81	73	73.25	65	22	1	5	6	5	4
67	honesthyp	2	0	0	1	47	47	11	45	37.5	53	48	46	52	49.75	58	54	6	54	43	73	54	20	55	50.5	43	39	83	24	47.25	45.1875	20	2	2	8	4	3
68	honesthyp	2	0	0	1	45	52	41	45	45.75	55	53	56	55	54.75	47	53	42	44	46.5	65	58	69	60	63	54	54	54	52	53.5	52.5	33	2	5	7	5	3
69	tradhyp	1	1	0	0	78	100	77	70	81.25	81	98	100	34	78.25	77	100	99	69	86.25	77	100	100	67	86	77	100	83	67	81.75	82.9375	18	1	2	5	1	1
70	tradhyp	1	1	0	0	38	0	0	51	22.25	87	25	50	82	61	29	9	23	48	27.25	18	23	21	38	25	100	100	100	100	100	33.875	25	2	2	4	3	3
71	honesthyp	2	0	0	1	56	79	61	69	66.25	73	78	68	67	71.5	72	94	70	71	76.75	94	98	98	99	97.25	92	69	79	74	78.5	77.9375	40	2	5	7	6	1
72	honesthyp	2	0	0	1	56	42	35	27	40	58	49	45	48	50	40	31	37	29	34.25	46	34	24	34	34.5	59	30	72	71	58	39.6875	41	1	3	7	5	1
73	honesthyp	2	0	0	1	95	86	59	82	80.5	94	82	68	79	80.75	76	84	60	77	74.25	70	78	67	75	72.5	78	20	69	19	46.5	77	65	1	5	4	5	1
74	controltrans	3	0	1	0	46	59	42	39	46.5	60	59	58	41	54.5	47	38	57	62	51	63	68	58	38	56.75	0	40	36	59	33.75	52.1875	31	1	2	6	5	1
75	honesthyp	2	0	0	1	32	22	53	37	36	35	36	46	45	40.5	36	31	60	66	48.25	36	34	48	58	44	81	87	59	63	72.5	42.1875	31	2	5	6	5	2
76	controltrans	3	0	1	0	67	58	61	56	60.5	63	59	60	61	60.75	60	59	56	58	58.25	61	60	75	44	60	22	55	53	55	46.25	59.875	30	2	3	6	6	4
77	controltrans	3	0	1	0	56	48	12	52	42	58	46	21	38	40.75	16	49	15	47	31.75	21	44	11	54	32.5	27	49	26	60	40.5	36.75	20	2	4	3	5	3
78	honesthyp	2	0	0	1	52	50	36	51	47.25	75	69	38	73	63.75	51	62	36	74	55.75	38	50	38	71	49.25	81	69	81	72	75.75	54	45	2	5	9	7	2
79	tradhyp	1	1	0	0	24	27	32	37	30	22	4	8	17	12.75	17	14	27	21	19.75	10	13	5	18	11.5	79	91	87	74	82.75	18.5	38	2	2	1	5	1
80	honesthyp	2	0	0	1	100	63	85	0	62	94	31	97	64	71.5	88	60	68	75	72.75	100	88	100	100	97	59	74	57	95	71.25	75.8125	19	1	4	4	7	1
81	honesthyp	2	0	0	1	50	50	50	51	50.25	50	50	50	50	50	50	50	50	50	50	50	50	51	50	50.25	84	80	77	77	79.5	50.125	51	2	4	4	5	1
82	controltrans	3	0	1	0	61	63	41	50	53.75	70	70	63	60	65.75	61	65	54	67	61.75	42	58	63	67	57.5	22	17	22	20	20.25	59.6875	47	1	6	2	5	3
83	tradhyp	1	1	0	0	57	61	60	46	56	56	28	43	56	45.75	59	15	50	50	43.5	41	26	23	45	33.75	98	95	97	100	97.5	44.75	22	2	3	1	3	1
84	controltrans	3	0	1	0	49	50	30	50	44.75	40	50	50	50	47.5	27	50	29	48	38.5	31	50	31	50	40.5	0	0	0	0	0	42.8125	33	1	2	4	3	1
85	tradhyp	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	0	23	1	2	5	1	1
86	honesthyp	2	0	0	1	63	40	80	42	56.25	66	46	56	50	54.5	41	42	46	57	46.5	16	33	42	65	39	100	66	58	62	71.5	49.0625	22	2	5	5	3	4
87	honesthyp	2	0	0	1	52	59	60	62	58.25	57	56	65	52	57.5	53	51	56	59	54.75	56	45	76	57	58.5	85	80	72	82	79.75	57.25	52	2	4	6	5	1
88	honesthyp	2	0	0	1	32	15	0	35	20.5	21	73	0	27	30.25	28	26	0	33	21.75	21	7	2	22	13	76	85	100	61	80.5	21.375	31	2	4	5	5	1
89	honesthyp	2	0	0	1	31	15	36	39	30.25	33	21	46	47	36.75	41	15	41	49	36.5	36	29	43	47	38.75	75	82	72	73	75.5	35.5625	33	1	2	6	5	2
90	tradhyp	1	1	0	0	50	27	50	50	44.25	50	26	50	50	44	25	18	50	17	27.5	17	10	23	36	21.5	94	91	97	93	93.75	34.3125	25	2	4	6	5	1
91	tradhyp	1	1	0	0	31	24	29	33	29.25	12	26	35	21	23.5	8	20	22	15	16.25	16	18	27	18	19.75	86	69	76	71	75.5	22.1875	65	2	2	7	3	1
92	controltrans	3	0	1	0	49	50	50	50	49.75	47	50	49	50	49	49	50	50	50	49.75	49	50	50	49	49.5	52	44	58	50	51	49.5	34	2	2	7	1	1
93	controltrans	3	0	1	0	87	100	11	2	50	100	99	31	62	73	87	100	80	75	85.5	72	87	29	90	69.5	7	0	20	3	7.5	69.5	23	1	2	1	3	2
94	controltrans	3	0	1	0	1	75	0	52	32	0	53	32	50	33.75	2	52	71	100	56.25	1	55	84	100	60	52	0	2	1	13.75	45.5	66	2	6	4	6	3
95	tradhyp	1	1	0	0	13	11	12	10	11.5	30	20	26	31	26.75	14	13	15	13	13.75	17	16	13	15	15.25	92	94	91	92	92.25	16.8125	32	2	6	9	3	3
96	honesthyp	2	0	0	1	42	48	22	46	39.5	44	47	38	32	40.25	39	47	41	41	42	43	46	40	59	47	68	59	75	73	68.75	42.1875	29	2	5	4	6	1
97	tradhyp	1	1	0	0	23	34	41	41	34.75	25	50	50	45	42.5	24	35	32	44	33.75	25	48	47	40	40	98	94	92	93	94.25	37.75	42	2	5	8	4	2
98	tradhyp	1	1	0	0	37	41	39	40	39.25	31	45	38	32	36.5	17	41	43	43	36	35	36	37	31	34.75	28	36	40	33	34.25	36.625	23	1	5	5	5	3
99	controltrans	3	0	1	0	26	24	32	65	36.75	22	61	38	81	50.5	19	18	29	18	21	22	18	19	59	29.5	74	72	28	76	62.5	34.4375	52	2	4	5	4	1
100	controltrans	3	0	1	0	32	59	20	55	41.5	9	41	32	56	34.5	7	39	18	60	31	10	40	4	36	22.5	70	40	42	30	45.5	32.375	47	2	5	10	5	2
101	tradhyp	1	1	0	0	20	43	38	43	36	47	38	51	42	44.5	17	33	37	27	28.5	14	31	37	21	25.75	90	80	74	84	82	33.6875	58	2	6	3	5	3
102	controltrans	3	0	1	0	50	50	12	29	35.25	43	50	38	32	40.75	37	33	27	34	32.75	18	13	22	30	20.75	69	36	68	71	61	32.375	24	2	4	5	4	1
103	honesthyp	2	0	0	1	32	11	60	20	30.75	28	54	55	37	43.5	26	52	54	30	40.5	23	56	58	34	42.75	95	98	27	98	79.5	39.375	35	1	6	8	3	1
104	honesthyp	2	0	0	1	46	47	40	47	45	46	47	42	47	45.5	42	46	43	40	42.75	46	47	44	42	44.75	54	46	56	60	54	44.5	35	1	6	7	5	1
105	tradhyp	1	1	0	0	56	22	57	47	45.5	63	30	70	74	59.25	84	8	59	52	50.75	71	7	32	22	33	95	88	81	87	87.75	47.125	24	1	2	5	5	1
106	controltrans	3	0	1	0	45	43	37	46	42.75	44	36	40	48	42	42	44	46	47	44.75	36	42	45	47	42.5	48	45	46	48	46.75	43	47	2	6	4	5	3
107	tradhyp	1	1	0	0	37	38	37	26	34.5	48	38	34	27	36.75	40	22	16	26	26	43	30	28	35	34	44	31	31	21	31.75	32.8125	30	2	4	7	3	1
108	tradhyp	1	1	0	0	10	68	70	43	47.75	55	68	89	81	73.25	39	78	75	61	63.25	87	75	87	68	79.25	0	12	19	35	16.5	65.875	21	2	4	1	6	1
109	honesthyp	2	0	0	1	37	13	38	30	29.5	33	8	31	48	30	30	29	36	34	32.25	35	12	32	30	27.25	84	93	78	87	85.5	29.75	62	2	5	5	5	4
110	controltrans	3	0	1	0	26	63	58	74	55.25	43	79	57	83	65.5	37	80	57	77	62.75	16	77	39	81	53.25	0	0	0	0	0	59.1875	54	2	4	1	7	1
111	controltrans	3	0	1	0	53	54	36	53	49	60	52	46	53	52.75	37	51	46	55	47.25	37	36	38	52	40.75	63	46	55	100	66	47.4375	28	1	2	5	5	1
112	controltrans	3	0	1	0	30	38	38	40	36.5	28	32	36	38	33.5	32	38	60	39	42.25	21	63	37	38	39.75	66	64	64	63	64.25	38	40	2	4	8	6	2
113	honesthyp	2	0	0	1	2	24	5	47	19.5	2	41	35	46	31	7	43	8	38	24	3	41	2	41	21.75	3	98	97	98	74	24.0625	26	2	4	4	1	3
114	tradhyp	1	1	0	0	40	42	44	55	45.25	42	45	43	61	47.75	42	42	41	53	44.5	43	43	45	48	44.75	59	62	58	59	59.5	45.5625	33	1	4	5	6	1
115	controltrans	3	0	1	0	95	46	50	87	69.5	95	32	27	100	63.5	98	32	67	94	72.75	87	7	63	100	64.25	3	24	63	6	24	67.5	41	2	2	6	7	2
116	tradhyp	1	1	0	0	47	51	16	61	43.75	47	52	47	47	48.25	29	11	10	51	25.25	29	7	0	46	20.5	69	67	40	47	55.75	34.4375	51	2	5	5	4	1
117	tradhyp	1	1	0	0	30	33	24	30	29.25	31	34	24	27	29	30	41	24	30	31.25	20	34	26	25	26.25	81	81	83	84	82.25	28.9375	18	2	2	1	4	1
118	honesthyp	2	0	0	1	46	68	43	58	53.75	32	68	35	40	43.75	39	38	37	40	38.5	41	40	42	39	40.5	89	86	61	81	79.25	44.125	25	2	4	2	7	1
119	controltrans	3	0	1	0	51	50	50	50	50.25	51	50	51	50	50.5	50	50	38	51	47.25	42	40	50	50	45.5	64	62	63	57	61.5	48.375	41	2	5	2	7	1
120	honesthyp	2	0	0	1	37	30	41	23	32.75	30	31	68	67	49	29	28	47	40	36	29	24	31	31	28.75	83	84	79	74	80	36.625	34	2	3	8	4	1
121	honesthyp	2	0	0	1	50	29	50	34	40.75	50	40	50	52	48	50	33	60	50	48.25	100	50	62	79	72.75	18	100	0	5	30.75	52.4375	34	2	6	10	5	1
122	honesthyp	2	0	0	1	26	41	23	21	27.75	21	42	36	36	33.75	13	35	20	27	23.75	20	35	32	23	27.5	84	74	79	89	81.5	28.1875	22	2	4	2	5	1
123	tradhyp	1	1	0	0	44	21	42	47	38.5	42	50	41	46	44.75	44	28	44	36	38	36	42	38	45	40.25	59	84	66	53	65.5	40.375	31	2	3	6	5	1
124	tradhyp	1	1	0	0	50	50	50	48	49.5	50	50	50	50	50	56	50	50	50	51.5	28	50	50	50	44.5	78	50	57	52	59.25	48.875	37	1	6	8	1	3
125	tradhyp	1	1	0	0	45	47	54	52	49.5	37	39	54	47	44.25	52	14	23	44	33.25	36	37	13	37	30.75	86	89	83	90	87	39.4375	29	1	5	9	6	1
126	controltrans	3	0	1	0	9	12	29	40	22.5	11	13	28	56	27	11	11	19	69	27.5	3	12	35	70	30	89	85	66	74	78.5	26.75	27	1	2	8	4	2
127	honesthyp	2	0	0	1	50	32	50	31	40.75	35	23	41	26	31.25	32	18	46	9	26.25	14	31	32	26	25.75	72	65	67	76	70	31	32	2	4	6	5	1
128	honesthyp	2	0	0	1	49	34	59	70	53	34	48	45	65	48	40	44	42	61	46.75	33	35	81	58	51.75	100	87	75	53	78.75	49.875	21	2	2	2	6	2
129	controltrans	3	0	1	0	38	40	3	47	32	34	39	15	45	33.25	29	38	6	41	28.5	5	43	6	88	35.5	30	42	4	64	35	32.3125	51	2	4	10	5	1
130	tradhyp	1	1	0	0	42	28	41	42	38.25	39	47	46	42	43.5	46	47	45	40	44.5	34	38	32	46	37.5	100	92	89	80	90.25	40.9375	23	1	5	1	5	3
131	tradhyp	1	1	0	0	7	37	52	30	31.5	42	41	57	41	45.25	18	46	50	31	36.25	0	50	55	31	34	100	57	43	56	64	36.75	26	1	5	8	3	2
132	tradhyp	1	1	0	0	12	1	28	11	13	7	3	27	23	15	7	0	34	38	19.75	0	25	32	16	18.25	100	100	98	84	95.5	16.5	32	1	5	9	3	3
133	controltrans	3	0	1	0	50	84	79	62	68.75	52	84	84	62	70.5	31	72	81	63	61.75	52	81	87	71	72.75	51	32	17	21	30.25	68.4375	52	2	4	4	3	3
134	honesthyp	2	0	0	1	52	50	36	50	47	45	41	47	52	46.25	42	43	39	55	44.75	52	45	52	52	50.25	23	18	39	46	31.5	47.0625	37	1	5	9	2	1
135	honesthyp	2	0	0	1	53	30	52	45	45	50	41	40	48	44.75	48	21	40	43	38	57	58	39	33	46.75	66	100	53	71	72.5	43.625	30	1	5	7	3	2
136	controltrans	3	0	1	0	44	29	27	21	30.25	39	31	13	33	29	39	40	34	31	36	36	33	42	29	35	37	19	20	83	39.75	32.5625	30	1	3	4	2	1
137	tradhyp	1	1	0	0	20	50	50	50	42.5	5	87	54	50	49	0	23	5	5	8.25	0	11	10	16	9.25	100	100	100	100	100	27.25	37	2	2	5	6	3
138	tradhyp	1	1	0	0	0	0	0	0	0	0	0	0	11	2.75	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	0.6875	41	2	5	6	2	1
139	honesthyp	2	0	0	1	50	58	56	56	55	57	62	58	56	58.25	61	59	57	55	58	50	59	56	57	55.5	59	58	56	57	57.5	56.6875	43	1	5	1	4	2
140	controltrans	3	0	1	0	100	100	100	100	100	100	100	0	100	75	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	93.75	26	2	5	5	6	1
141	controltrans	3	0	1	0	18	13	19	19	17.25	18	13	18	29	19.5	17	15	19	23	18.5	18	14	18	28	19.5	17	50	16	100	45.75	18.6875	30	2	6	5	5	1
142	tradhyp	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	0	27	2	4	4	1	1
143	honesthyp	2	0	0	1	50	49	50	57	51.5	50	50	50	58	52	50	51	52	68	55.25	40	31	62	66	49.75	60	62	62	60	61	52.125	28	2	5	3	6	3
144	honesthyp	2	0	0	1	79	72	83	80	78.5	76	72	76	76	75	74	80	80	70	76	78	73	76	79	76.5	100	100	100	100	100	76.5	27	1	5	6	6	2
145	tradhyp	1	1	0	0	33	61	36	34	41	40	66	39	38	45.75	28	67	29	29	38.25	30	64	37	32	40.75	70	55	71	83	69.75	41.4375	34	1	4	5	5	1
146	controltrans	3	0	1	0	50	50	50	49	49.75	50	50	50	50	50	50	45	50	50	48.75	50	46	50	49	48.75	50	50	50	50	50	49.3125	28	2	5	4	6	1
147	controltrans	3	0	1	0	26	35	27	54	35.5	13	52	28	65	39.5	19	34	28	67	37	10	41	45	59	38.75	95	63	75	27	65	37.6875	18	1	4	5	2	2
148	controltrans	3	0	1	0	48	44	46	46	46	26	39	46	48	39.75	33	11	50	49	35.75	20	21	48	47	34	7	100	24	97	57	38.875	31	1	4	7	5	4
149	tradhyp	1	1	0	0	39	26	20	27	28	40	38	43	46	41.75	35	41	22	25	30.75	31	34	25	28	29.5	69	70	79	76	73.5	32.5	35	1	4	2	3	4
150	controltrans	3	0	1	0	52	37	61	45	48.75	55	58	43	57	53.25	43	40	44	52	44.75	48	44	59	50	50.25	48	62	59	42	52.75	49.25	28	1	6	7	4	1
151	controltrans	3	0	1	0	50	50	50	2	38	50	50	50	35	46.25	11	50	50	50	40.25	14	50	50	50	41	50	50	50	50	50	41.375	39	2	5	5	4	2
152	honesthyp	2	0	0	1	48	50	50	50	49.5	46	50	50	50	49	46	50	50	50	49	53	53	51	50	51.75	56	55	52	56	54.75	49.8125	46	1	5	10	5	1
153	controltrans	3	0	1	0	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	44	47	47	50	47	61	64	68	65	64.5	49.25	32	2	4	3	4	2
