id	direct	signal	qAnswered	totalCorrect	percCorrect	dowork	doromantic	doacademic	dodrugs	trustswork	trustsromantic	trustsacademic	trustsdrugs	trustgwork	trustgromantic	trustgacademic	trustgdrugs	likework	likeromantic	likeacademic	likedrugs	compq1work	compq1romantic	compq1academic	compq1drugs	sumdo	sumtrusts	sumtrustg	sumlike	sumtotal	age	gender	edu	income	generaltrust	previousexperience
47	0	1	4	4	1	1	2	3	1	5	5	4	5	6	4	6	4	5	5	5	4	1	1	1	1	6.25	4.75	5	4.75	5.1875	23	1	4	1	4	3
48	0	0	4	4	1	2	2	2	2	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	6	4	4	4	4.5	25	1	5	7	4	3
49	1	0	4	4	1	4	3	3	3	4	5	4	4	5	5	4	5	5	4	4	4	2	2	2	2	4.75	4.25	4.75	4.25	4.5	29	2	5	8	5	1
50	0	1	4	4	1	3	3	3	3	5	5	5	3	3	5	5	4	5	5	5	4	1	1	1	1	5	4.5	4.25	4.75	4.625	33	1	5	10	5	3
51	0	1	4	4	1	2	2	1	2	5	6	6	6	4	7	7	6	5	6	6	5	1	1	1	1	6.25	5.75	6	5.5	5.875	40	2	5	4	6	2
52	1	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	32	1	2	4	4	1
53	0	1	4	4	1	1	1	1	1	6	7	6	6	4	4	4	6	6	7	6	6	1	1	1	1	7	6.25	4.5	6.25	6	35	2	4	6	7	1
54	0	0	4	4	1	3	4	4	3	4	4	4	7	4	4	4	5	4	4	4	5	2	2	2	2	4.5	4.75	4.25	4.25	4.4375	28	1	4	4	4	3
55	0	1	4	4	1	3	3	2	3	5	5	5	5	5	5	6	5	6	6	5	6	1	1	1	1	5.25	5	5.25	5.75	5.3125	27	1	6	4	4	4
56	0	1	4	4	1	5	4	1	5	4	3	1	4	5	5	3	3	6	4	1	3	1	1	1	1	4.25	3	4	3.5	3.6875	28	1	4	4	1	2
57	1	1	4	4	1	2	3	2	5	5	5	6	6	5	5	6	6	5	5	5	5	1	1	1	1	5	5.5	5.5	5	5.25	66	2	5	4	6	2
58	1	1	4	4	1	3	1	1	3	6	5	6	5	5	6	5	5	5	5	6	5	1	1	1	1	6	5.5	5.25	5.25	5.5	27	1	5	5	5	1
59	1	0	4	4	1	3	3	4	4	5	5	4	4	5	5	4	4	5	4	4	4	2	2	2	2	4.5	4.5	4.5	4.25	4.4375	27	1	5	7	5	3
60	1	1	4	4	1	3	4	3	2	4	4	4	4	4	3	4	4	4	4	4	4	1	1	1	1	5	4	3.75	4	4.1875	29	2	4	9	3	1
61	0	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	25	1	5	7	6	1
62	1	0	4	4	1	1	1	4	4	7	7	7	7	7	4	4	7	4	7	4	4	2	2	2	2	5.5	7	5.5	4.75	5.6875	43	1	4	6	7	1
63	1	1	4	4	1	6	1	1	4	4	4	6	4	3	4	6	4	4	4	6	4	1	1	1	1	5	4.5	4.25	4.5	4.5625	21	2	4	1	4	1
64	1	1	4	4	1	2	1	2	2	6	5	5	6	6	6	5	6	6	6	5	6	1	1	1	1	6.25	5.5	5.75	5.75	5.8125	26	2	5	6	6	1
65	1	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	27	1	5	7	4	2
66	0	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	22	1	5	6	6	2
67	1	1	4	4	1	3	3	2	4	4	6	5	5	4	5	5	4	5	6	5	5	1	1	1	1	5	5	4.5	5.25	4.9375	46	2	3	7	6	1
68	0	0	4	4	1	1	1	1	1	7	7	7	7	7	7	7	7	4	4	4	4	2	2	2	2	7	7	7	4	6.25	28	2	6	8	7	1
69	1	0	4	4	1	3	3	3	3	5	5	5	5	5	5	5	5	4	4	4	4	2	2	2	2	5	5	5	4	4.75	33	2	6	9	5	2
70	1	1	4	4	1	2	2	2	2	6	6	5	6	5	5	5	5	5	6	6	6	1	1	1	1	6	5.75	5	5.75	5.625	27	2	6	7	5	1
71	1	0	4	4	1	3	3	2	3	5	5	5	4	4	4	4	4	4	5	5	5	2	2	2	2	5.25	4.75	4	4.75	4.6875	20	2	4	1	5	1
72	0	0	4	4	1	4	5	5	4	4	1	3	3	4	3	2	3	4	4	3	2	2	2	2	2	3.5	2.75	3	3.25	3.125	19	2	2	9	6	1
73	1	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	18	1	2	7	6	1
74	0	1	4	4	1	3	3	3	4	5	4	4	5	5	5	5	5	4	4	4	4	1	1	1	1	4.75	4.5	5	4	4.5625	21	1	4	4	5	1
75	0	1	4	4	1	1	1	1	1	7	7	7	7	7	7	7	7	7	7	7	7	1	1	1	1	7	7	7	7	7	23	1	4	3	5	3
76	0	0	4	4	1	2	5	2	2	5	5	5	5	5	5	5	5	5	5	5	5	2	2	2	2	5.25	5	5	5	5.0625	19	1	4	3	6	2
77	1	0	4	4	1	5	4	6	6	4	4	4	4	5	3	4	5	6	6	5	6	2	2	2	2	2.75	4	4.25	5.75	4.1875	28	1	5	6	5	3
78	1	0	4	3	0.75	4	3	5	3	3	4	3	5	1	3	3	4	3	4	4	5	2	2	2	1	4.25	3.75	2.75	4	3.6875	21	1	5	7	2	1
79	0	0	4	4	1	3	2	3	2	5	5	4	5	6	6	2	6	5	4	4	4	2	2	2	2	5.5	4.75	5	4.25	4.875	36	1	5	7	5	3
80	1	1	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	4	4	4	4	4	20	1	4	1	3	2
81	1	0	4	4	1	5	3	2	3	3	4	4	5	3	4	4	5	3	4	4	5	2	2	2	2	4.75	4	4	4	4.1875	34	1	5	7	5	1
82	0	1	4	4	1	3	2	2	2	5	6	6	6	4	6	5	5	5	5	5	4	1	1	1	1	5.75	5.75	5	4.75	5.3125	22	1	4	7	4	1
83	1	1	4	4	1	3	2	3	3	5	4	5	5	4	4	4	4	4	4	4	4	1	1	1	1	5.25	4.75	4	4	4.5	25	2	5	5	4	3
84	0	0	4	4	1	4	3	4	4	3	5	4	5	3	5	4	5	4	4	4	4	2	2	2	2	4.25	4.25	4.25	4	4.1875	39	1	6	7	5	1
85	0	0	4	4	1	2	3	2	4	3	2	3	3	3	2	4	3	3	2	3	3	2	2	2	2	5.25	2.75	3	2.75	3.4375	21	1	5	3	4	2
86	1	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	43	2	5	6	6	1
87	1	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5	4	2	2	2	2	4	4	4	4.5	4.125	22	2	4	1	4	2
88	1	0	4	4	1	4	4	4	5	4	4	3	4	4	4	4	4	4	4	4	4	2	2	2	2	3.75	3.75	4	4	3.875	21	2	4	1	5	1
89	1	1	4	4	1	3	4	3	3	5	4	4	4	5	4	4	4	5	4	4	4	1	1	1	1	4.75	4.25	4.25	4.25	4.375	34	2	5	8	5	3
90	0	1	4	4	1	2	1	1	1	6	7	6	6	6	7	6	6	6	7	6	6	1	1	1	1	6.75	6.25	6.25	6.25	6.375	20	1	5	5	6	1
91	1	0	4	4	1	3	3	2	3	5	5	5	5	5	5	5	5	5	5	5	5	2	2	2	2	5.25	5	5	5	5.0625	24	1	5	1	5	2
92	0	1	4	4	1	6	6	6	3	6	2	4	6	5	5	4	6	4	4	4	4	1	1	1	1	2.75	4.5	5	4	4.0625	74	2	2	4	6	1
93	0	0	4	4	1	3	3	3	4	5	3	5	4	4	5	4	4	3	4	4	4	2	2	2	2	4.75	4.25	4.25	3.75	4.25	20	2	4	7	4	1
94	1	0	4	4	1	5	3	3	4	5	5	3	4	5	4	4	4	5	4	4	4	2	2	2	2	4.25	4.25	4.25	4.25	4.25	26	1	5	6	3	2
95	1	0	4	4	1	5	5	5	3	5	4	4	4	4	5	5	4	4	4	4	4	2	2	2	2	3.5	4.25	4.5	4	4.0625	23	1	5	8	6	1
96	0	0	4	4	1	4	4	5	5	3	4	2	2	3	4	3	3	4	4	4	4	2	2	2	2	3.5	2.75	3.25	4	3.375	25	1	5	8	3	2
97	1	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	42	1	5	5	6	3
98	1	1	4	4	1	4	3	4	5	5	5	4	3	5	5	4	3	5	5	4	4	1	1	1	1	4	4.25	4.25	4.5	4.25	34	1	5	4	4	3
99	1	0	4	4	1	2	5	2	2	5	5	6	6	5	5	5	5	5	6	5	5	2	2	2	2	5.25	5.5	5	5.25	5.25	36	1	3	6	6	3
100	0	1	4	4	1	1	3	7	7	4	4	1	1	4	5	1	1	4	4	1	4	1	1	1	1	3.5	2.5	2.75	3.25	3	24	1	4	7	4	1
101	0	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	28	1	5	7	5	1
102	1	1	4	4	1	2	2	2	2	6	7	6	6	6	6	5	6	5	7	5	6	1	1	1	1	6	6.25	5.75	5.75	5.9375	34	1	5	7	5	2
103	1	1	4	4	1	1	1	1	1	5	5	5	5	5	5	5	5	1	5	5	4	1	1	1	1	7	5	5	3.75	5.1875	30	1	4	2	1	1
104	1	1	4	4	1	1	2	1	2	6	7	6	6	6	6	6	6	6	6	6	6	1	1	1	1	6.5	6.25	6	6	6.1875	27	1	4	6	7	3
105	1	1	4	4	1	2	4	3	3	5	4	4	4	4	4	3	5	4	4	3	4	1	1	1	1	5	4.25	4	3.75	4.25	25	1	2	6	2	1
106	1	1	4	4	1	2	3	1	5	5	5	6	4	5	5	6	3	5	5	5	4	1	1	1	1	5.25	5	4.75	4.75	4.9375	49	2	4	5	6	3
107	0	1	4	4	1	2	4	3	4	7	4	4	5	6	6	5	7	7	5	5	7	1	1	1	1	4.75	5	6	6	5.4375	29	1	5	6	6	1
108	0	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	54	2	5	6	6	1
109	1	0	4	4	1	3	3	2	3	5	4	6	5	4	5	6	5	5	5	5	5	2	2	2	2	5.25	5	5	5	5.0625	32	2	4	4	5	1
110	0	0	4	4	1	5	5	4	3	3	5	5	4	5	3	4	4	4	4	4	4	2	2	2	2	3.75	4.25	4	4	4	24	1	5	4	5	4
111	0	1	4	4	1	4	2	3	2	3	6	5	6	3	5	5	5	3	5	5	5	1	1	1	1	5.25	5	4.5	4.5	4.8125	32	1	5	6	5	3
112	0	1	4	4	1	4	5	3	3	3	4	4	3	4	4	5	1	5	4	5	3	1	1	1	1	4.25	3.5	3.5	4.25	3.875	22	1	4	2	2	2
113	1	0	4	4	1	4	4	3	4	4	4	5	4	4	4	5	4	4	4	4	4	2	2	2	2	4.25	4.25	4.25	4	4.1875	54	2	4	5	4	1
114	1	1	4	4	1	2	3	3	2	6	5	5	5	5	5	3	5	5	6	5	6	1	1	1	1	5.5	5.25	4.5	5.5	5.1875	25	1	4	4	5	1
115	1	1	4	4	1	4	7	6	1	4	1	6	4	4	1	6	5	5	2	6	5	1	1	1	1	3.5	3.75	4	4.5	3.9375	36	2	2	3	4	1
116	0	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	27	1	5	7	2	1
117	0	1	4	4	1	2	2	2	2	5	6	6	6	5	6	6	6	5	5	5	5	1	1	1	1	6	5.75	5.75	5	5.625	43	1	4	6	5	2
118	0	0	4	4	1	5	3	3	1	4	4	5	6	4	4	5	3	3	3	4	4	2	2	2	2	5	4.75	4	3.5	4.3125	29	1	5	6	5	2
119	1	0	4	4	1	6	5	6	6	2	4	3	2	3	3	3	2	3	4	3	3	2	2	2	2	2.25	2.75	2.75	3.25	2.75	35	1	6	10	6	2
120	1	1	4	4	1	5	3	3	3	3	5	5	5	4	5	4	5	4	5	4	4	1	1	1	1	4.5	4.5	4.5	4.25	4.4375	26	1	5	7	5	2
121	0	0	4	4	1	3	3	3	2	5	5	5	5	5	5	5	5	5	5	5	5	2	2	2	2	5.25	5	5	5	5.0625	42	1	5	9	5	2
122	0	1	4	4	1	2	2	6	5	6	6	5	6	6	6	6	5	6	7	6	6	1	1	1	1	4.25	5.75	5.75	6.25	5.5	28	1	4	1	4	1
123	0	1	4	4	1	1	4	7	3	4	7	4	4	4	4	4	3	4	5	4	4	1	1	1	1	4.25	4.75	3.75	4.25	4.25	20	1	2	1	4	3
124	0	1	4	4	1	2	1	1	1	5	7	4	3	5	4	4	4	5	5	3	3	1	1	1	1	6.75	4.75	4.25	4	4.9375	25	1	2	5	5	1
125	1	0	4	4	1	4	4	3	3	4	1	5	3	4	4	4	4	4	4	4	4	2	2	2	2	4.5	3.25	4	4	3.9375	62	2	4	6	4	1
126	0	0	4	4	1	3	4	3	2	4	4	3	3	6	4	3	3	5	4	4	3	2	2	2	2	5	3.5	4	4	4.125	24	1	5	8	3	1
127	1	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	26	1	3	7	4	1
128	1	1	4	4	1	2	2	2	2	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	6	5	5	5	5.25	32	1	5	5	5	2
129	0	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	29	1	2	5	4	1
130	1	1	4	4	1	3	3	3	3	4	4	4	5	4	4	4	4	4	4	4	4	1	1	1	1	5	4.25	4	4	4.3125	34	1	5	7	2	2
131	0	1	4	4	1	1	1	1	1	7	7	7	7	7	7	7	7	7	7	7	7	1	1	1	1	7	7	7	7	7	23	1	2	5	1	1
132	0	1	4	4	1	1	1	1	1	7	7	7	7	7	7	7	7	7	7	7	7	1	1	1	1	7	7	7	7	7	26	1	4	4	7	3
133	1	0	4	4	1	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	3.75	4	4	4	3.9375	30	2	6	2	5	1
134	1	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	39	2	4	6	5	1
135	0	0	4	4	1	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4.25	4	4	4	4.0625	31	2	6	7	2	3
136	1	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	29	2	6	2	6	1
137	1	1	4	4	1	4	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	3.75	4	4	4	3.9375	23	1	2	3	5	1
138	0	1	4	4	1	3	3	2	2	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	5.5	5	5	5	5.125	29	1	4	4	4	1
139	0	0	4	4	1	4	4	3	4	4	4	4	4	4	4	4	4	4	4	5	4	2	2	2	2	4.25	4	4	4.25	4.125	42	1	4	5	5	1
140	1	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	32	1	5	5	4	1
141	1	0	4	4	1	3	2	5	4	5	5	5	6	4	5	3	4	4	4	4	5	2	2	2	2	4.5	5.25	4	4.25	4.5	23	1	4	2	3	2
142	1	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	25	2	4	4	4	1
143	1	1	4	4	1	6	5	5	4	5	5	6	5	5	6	4	5	4	5	5	5	1	1	1	1	3	5.25	5	4.75	4.5	26	2	6	5	6	4
144	0	1	4	4	1	2	2	4	2	6	6	3	6	4	5	4	5	5	6	5	5	1	1	1	1	5.5	5.25	4.5	5.25	5.125	27	1	4	4	6	2
145	1	0	4	4	1	5	4	4	2	3	4	5	5	3	4	6	5	4	4	5	5	2	2	2	2	4.25	4.25	4.5	4.5	4.375	30	2	5	9	6	1
146	0	0	4	4	1	4	2	2	3	4	4	4	5	4	4	4	4	4	4	4	4	2	2	2	2	5.25	4.25	4	4	4.375	22	1	4	2	4	1
147	1	1	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	4	4	4	4	4	46	2	5	6	6	3
148	1	1	4	4	1	5	3	4	4	5	4	4	4	5	4	4	4	4	5	4	4	1	1	1	1	4	4.25	4.25	4.25	4.1875	28	2	4	6	5	1
149	1	0	4	4	1	5	2	3	3	3	5	5	5	4	5	5	5	4	4	4	4	2	2	2	2	4.75	4.5	4.75	4	4.5	27	2	2	7	5	2
150	1	0	4	4	1	3	5	2	5	3	3	3	5	2	4	3	6	5	3	4	4	2	2	2	2	4.25	3.5	3.75	4	3.875	24	1	5	4	4	2
151	0	1	4	4	1	2	2	2	4	5	4	5	4	5	5	5	4	5	5	5	4	1	1	1	1	5.5	4.5	4.75	4.75	4.875	26	1	5	1	4	2
152	1	0	4	4	1	4	5	5	4	5	3	5	5	4	3	5	5	4	3	3	4	2	2	2	2	3.5	4.5	4.25	3.5	3.9375	25	1	4	1	5	1
153	0	0	4	4	1	4	3	4	4	4	4	3	4	3	4	3	4	4	4	4	4	2	2	2	2	4.25	3.75	3.5	4	3.875	20	1	4	1	5	2
154	0	0	4	4	1	4	4	4	4	5	4	4	4	5	4	4	5	4	4	4	4	2	2	2	2	4	4.25	4.5	4	4.1875	30	2	5	5	3	1
155	0	0	4	4	1	2	2	3	2	6	5	6	6	6	5	5	6	4	5	4	4	2	2	2	2	5.75	5.75	5.5	4.25	5.3125	28	1	5	4	6	1
156	0	0	4	4	1	4	4	4	4	3	4	4	4	4	3	3	3	4	4	4	4	2	2	2	2	4	3.75	3.25	4	3.75	40	2	4	6	3	3
157	1	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	23	1	2	4	3	1
158	1	1	4	4	1	1	1	1	1	1	7	7	7	1	5	7	7	1	2	4	4	1	1	1	1	7	5.5	5	2.75	5.0625	40	1	4	10	5	1
159	1	1	4	4	1	4	6	4	5	5	5	5	5	4	4	5	4	4	5	4	4	1	1	1	1	3.25	5	4.25	4.25	4.1875	27	1	4	3	5	1
160	1	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	33	1	4	5	5	1
161	0	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	48	2	3	2	5	1
162	1	1	4	4	1	2	3	2	1	6	5	6	6	6	5	6	6	6	4	6	6	1	1	1	1	6	5.75	5.75	5.5	5.75	31	2	2	5	6	1
163	0	1	4	4	1	1	1	1	1	5	6	6	7	5	5	6	7	5	6	6	6	1	1	1	1	7	6	5.75	5.75	6.125	36	1	2	5	5	1
164	1	1	4	4	1	5	3	4	5	5	6	5	3	4	6	5	3	4	6	5	3	1	1	1	1	3.75	4.75	4.5	4.5	4.375	26	1	5	3	3	2
165	0	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	4	4	4	4	4	45	2	4	7	4	1
166	1	1	4	4	1	6	6	4	4	4	4	5	6	4	5	6	4	6	6	4	5	1	1	1	1	3	4.75	4.75	5.25	4.4375	29	2	5	7	5	2
167	0	1	4	4	1	2	3	4	5	5	5	5	4	5	5	4	4	4	4	4	4	1	1	1	1	4.5	4.75	4.5	4	4.4375	23	1	2	6	5	2
168	0	1	4	4	1	6	3	2	2	4	5	3	5	4	4	4	2	3	4	4	4	1	1	1	1	4.75	4.25	3.5	3.75	4.0625	21	1	4	1	5	1
169	1	1	4	4	1	2	2	4	2	5	5	4	4	4	5	4	5	5	4	3	4	1	1	1	1	5.5	4.5	4.5	4	4.625	30	2	5	6	4	1
170	0	1	4	4	1	2	6	2	5	7	3	6	4	7	3	6	3	7	7	6	5	1	1	1	1	4.25	5	4.75	6.25	5.0625	26	1	5	10	1	1
